Pregunta,Respuesta,Etiqueta
"Qué hace el Conde Drácula al conocer que Jonathan Harker ha descubierto su escondite?","El conde se desliza por la ventana y abandona el castillo.","Evade descubrimiento"
"Qué promete el conde a Jonathan Harker?","El conde le promete regresar a Inglaterra y entregarle la carta a su familia.","Promesa/Despecho"
"¿Qué intenta el Conde Drácula para retener a Jonathan Harker?","El conde intenta de todas maneras mantenerlo en el castillo, pero no tiene éxito.","Intento de retenencia"
"Qué intenta detener a Jonathan Harker el Conde Drácula?","El conde lo intenta mantener en el castillo al parecer utilizando el ruido de los lobos para intimidarlo.","Intento de retención/Coacción"
"Qué pensamientos tiene Jonathan Harker al entrar en el castillo del Conde Drácula?","Jonathan Harker se siente entorpecido por un sentimiento de miedo al ingresar al castillo del Conde Drácula, sin embargo, le parece maravilloso.","Sentimientos"
"Qué acción lleva a cabo Jonathan Harker para evitar caer presa del mal?","Jonathan Harker grita '¡Cierre la puerta! ¡Esperaré hasta mañana!' como última oportunidad.","Evitación mal"
"¿Qué suenos tiene Jonathan Harker al caerse dormido?","Jonathan Harker tiene el sentimiento de estar a punto de morir al caer dormido y reza por ayuda.","Suenos"
"¿Qué acciones toman los tres amigas del Conde Drácula para deshacerse de Jonathan Harker?","Las amigas del Conde Drácula se riñen mientras Jonathan Harker duerme, pero al aparecer él, abandonan el castillo.","Amigas"
"¿Qué le pasa a Jonathan Harker al despertar?","Jonathan Harker se desperta por el gallo y sentía la libertad.","Despertar"
"¿Cómo se trata Jonathan Harker de quedarse en el castillo del Conde Drácula?","Jonathan Harker quiere obtener la llave al cuarto del conde y escala la pared.","Trato"
"¿Qué encuentra Jonathan Harker al abrir el ataúd?","Jonathan Harker encuentra al conde Drácula joven y aparentemente rejuvenecido.","Ataúd"
"Qué observación hace Jonathan Harker sobre el Conde Drácula?","Jonathan Harker ve que el conde tiene un cuerpo joven y aparentemente rejuvenecido.","Observación"
"¿Qué hace Jonathan Harker para detener al Conde Drácula?","Jonathan Harka golpea con la pala en el rostro del Conde Drácula, pero fracasa y la pierde.","Detención"
"Qué hace el conde Drácula cuando Jonathan Harker está en su presencia?","El conde Drácula tiene una mueca de malicia y aparece hinchado, manchado de sangre. Su presencia crea una sensación de desesperación en Jonathan Harker.","Descripción/Conde"
"Qué sucede cuando el conde Drácula se encuentra en el cuarto de Jonathan Harker?","El conde Drácula bloquea la salida del cuarto y Jonathan Harker queda encerrado. Los sonidos que escucha sugieren que el conde está cerrando una nueva entrada, además de depositando tierra en su caja.","Entrapamiento/Conde"
"Qué reacciones muestra Jonathan Harker al quedarse encerrado con las mujeres del castillo?","Jonathan Harker intenta escapar y encuentra a Mina, pero se horroriza al saber que está junto a ellas.","Reacción/Encierro"
"Qué tareas realiza la señorita Mina Murray?","Mina Murray trabaja como ayudante de director en una escuela y practica activamente la taquigrafía.","Tareas/Mina"
"Qué tipo de diario mantiene Mina Murray?","Mina Murray mantiene un diario donde registra todos sus pensamientos y observaciones. Lo considera un ejercicio para mejorar su memoria y eventualmente compartirlo con Jonathan.","Diario/Mina"
"Qué temas Mina Murray al escribir a Lucy Westenra?","Mina Murray preocupa a Lucy al no responderle pronto y a menudo no tener mucho que decirle. Sin embargo, le confiesa sus planes de mantener un diario para su uso propio y eventualmente compartido con Jonathan.","Cartas/Mina"
"¿Qué personaje se refiere a la señora Mina?","Se refiere al personaje interpretado por Lucy Westenra.","Personaje"
"Qué detalle puede deducirse sobre el señor Holmwood y su relación con Lucy?","El señor Holmwood visita a la señora Lucy a menudo, se llevan muy bien y comparten varias similitudes.","Relación"
"Qué detalle describe el comportamiento del Dr. Seward con la señora Mina?","El Dr. Seward está intrigado por la señora Mina y le muestra un gran interés psicológico.","Observaciones"
"Qué información debe deducirse sobre la relación entre Lucy y Mina desde las cartas?","Se puede deducir que las dos mujeres se conocieron desde pequeñas y han tenido una profunda amistad.","Relación"
"¿Qué detalle puede deducirse sobre los deseos de Lucy respecto al matrimonio?","Lucy se muestra deslumbrada por las ofertas de matrimonio y su interés es principalmente basarse en la seguridad financiera que representan.","Deseos"
"Qué personaje se refiere Lucy cuando habla del número uno?","Lucy se refiere al doctor Seward.","Personaje"
"Qué acción comete Lucy al final del texto?","Lucy le dice a Dr. Seward que ya está comprometida con otro.","Acciones"
"En qué fecha continúa el viaje de Jonathan Harker?","La carta de Jonathan Harker continúa el día después de la fecha inicial del 3 de mayo.","Continuación viaje"
"Qué tipo de persona es Arthur, el amigo de Jonathan Harker en las diligencias?","Arthur es un americano joven y fresco que se acompaña con los diligencias a través de Europa para ayudar a Jonathan en sus negocios.","Persona/Amigo"
"Qué tipo de personaje es Quincey P. Morris?","El señor Quincey P. Morris es un hombre bien educado que a menudo usa el 'slang' americano para divertir a sus amigos.","Personaje/Tipo"
"¿Qué desea Lucy cuando encuentra al señor Morris?","Lucy desea que el señor Morris le acompañe y se enamoren para no sentirse sola.","Sentimientos/Lucy"
"¿Qué desea Lucy hacia el señor Morris?","Lucy desea que el señor Morris se enamore de ella para no sentirse sola y acompañarle.","Emociones/Lucy"
"¿Qué dice el señor Morris a Lucy para acercarse a ella?","El señor Morris se declara su amigo sincero y pide saber si hay algún otro hombre que interese a Lucy.","Deseos/Morris"
"¿Qué se comprometen Lucy y el señor Morris?","Lucy acepta que el señor Morris la ama, mientras que él se compromete a esperar hasta que ella lo haga oficialmente.","Compromiso/Lucy&Morris"
"Qué se revela sobre la naturaleza de los sentimientos de Mina hacia Jonathan Harker?","Mina besa a Jonathan Harker y le dice que si estas cosas no hacen de ellos buenos amigos, nada lo hará.","Sentimientos/Amistad"
"Qué se revela sobre la naturaleza de los sentimientos de Lucy hacia Jonathan Harker?","Lucy besa a Jonathan Harker y expresa sus sentimientos de amor y felicidad.","Sentimientos/Amor"
"Qué reflexiones tiene el doctor Seward sobre sus motivos de interrogar a uno de sus pacientes?","El Doctor Seward siente un interés intensivo hacia el caso de este paciente y ve la necesidad de entender su alucinación. Él ve su interrogante como una forma de adueñarse de los hechos para poder curarlo.","Reflexiones"
"Qué pensamientos se presentan en la mente del doctor Seward respecto al paciente Renfield?","El Doctor Seward está intrigado por el caso de Renfield y cree que si puede llegar a entender su alucinación podrá curarlo. Sin embargo, también teme que pueda ser una figura peligrosa si es egoísta.","Pensamientos/Observaciones"
"Qué invitación extiende Quincey Morris al Arthur Holmwood?","Quincey Morris le invita a unirse a él, Arthur y el Doctor Seward para pasar una noche a la fogata en su campamento. Ellos han vivido muchas aventuras juntos y desean celebrar su felicidad con vino y compañía.","Invitación"
"Qué impresión Lucy hace sobre Mina?","Lucy tiene una apariencia dulce y bonita que intriga a Mina y la hace sentirse feliz al verla.","Impresión/Felicidad"
"Qué ruinas vuelve a ver Jonathan Harker en su camino hacia Transilvania?","Las ruinas de la abadía de Whitby son vistas por Jonathan Harker en su camino hacia Transilvania.","Ruinas"
"En qué lugar se encuentran las ruinas de la iglesia y el cementerio en relación con el pueblo?","Las ruinas de la iglesia y el cementerio están justo encima del pueblo, lo que permite una vista completa del puerto y de toda la bahía donde el cabo Kettleness se encuentra.","Posición"
"Qué detalles describe Jonathan Harker sobre la iglesia y el cementerio en Whitby?","La iglesia y el cementerio son los lugares más bonitos de Whitby según Jonathan Harker. Sus tumbas se encuentran justo encima del pueblo, lo que permite una vista completa del puerto y del cabo Kettleness. Las tumbas están situadas sobre un sendero arena"Qué detalles describe Jonathan Harker del puerto y el faro?","Según Jonathan Harker, el puerto es un lugar bonito tanto durante las maretas altas como bajas. El puerto carece de fondo durante la baja marea, dejando solo ver la corriente del Esk deslizándose entre los bancos de arena y rocas. Afuera del puerto existe un arrecife de casi una milla de longitud que se extiende hasta el sur del faro. Al final del arrecife hay una buoy con una campana que suena cuando hay mal tiempo. Jonathan Harker comenta que las leyendas locales dicen que cuando un barco está perdido, se escuchan campanas que suenan en el mar abierto.","Descripción del puerto"
"Qué detalles Jonathan Harker recibe sobre el viejo anciano del puerto y sus creencias?","El anciano del puerto es un hombre divertido pero escéptico según Jonathan Harker. Se refiere a las campañas en el mar y la Dama de Blanco como historias para viajeros, y le recomienda no preocuparse por tales cosas. El anciano asegura que esos detalles son interesantes solo para los viajeros y que él misma no tiene interés en creerlas.","Detalles sobre el anciano"
"Qué relato cuenta el anciano del puerto sobre la iglesia y los graderíos?","Según Jonathan Harker, los graderíos son un rasgo característico de este lugar y llevan desde el pueblo hasta la iglesia. Se enroscan en delicadas curvas, y su declive es tan leve que caballos pueden subirlos o bajarlos a pie. El anciano especula que originalmente deben haber tenido alguna relación con la abadía.", "Graderíos"
"Qué relato cuenta el anciano sobre la naturaleza dulce e inocente de Lucy?","Según Jonathan Harker, la Dama Lucy es una persona amable y encantadora que todos se enamoran al instante. Incluso el anciano está dispuesto a aceptar sus puntos de vista y apoyarlas en las discusiones.", "Dama Lucy"
"¿Qué es lo que Jonathan Harker se enfada con al regresar a Bistritz?","Jonathan Harker está enojado por los dichos y advertencias que intentan asustarlo para beneficio de la gente.","Reacción"
"¿Qué parece el anciano Swales?","El anciano Swales se presenta como satisfecho y confiado al hablar a Jonathan Harker.","Apariencia"
"Qué personaje encuentra Jonathan Harker en el cementerio?","Jonathan Harker encuentra un personaje llamado Edward Spencelagh.","Nuevo encuentro"
"Qué personajes menciona el anciano Swales y para qué fin?","El anciano Swales menciona varios nombres de personas fallecidas, diciendo que sus huesos no deben necesitar apurarse a ir a Whitby cuando su tumba sonara.","Personajes"
"¿Qué broma hace el anciano Swales acerca de las lápidas?","El anciano Swales bromea diciendo que es necesario que las personas lleven sus lápidas para el Día del Juicio. Cuando Jonathan Harker menciona que no podría ser correcto, le pregunta por qué podrían ser esas lápidas si todos saben que están rellenas de mentiras.","Broma"
"Qué cuenta lee Lucy del hombre sepultado?","Lucy lee que el hombre que está sepultado murió cayendo de las rocas en Kettleness. Su madre lo enterró en una tumba hecha por ella para su hijo único. Sin embargo, el anciano Swales luego revela que la mujer era una bruja y ambos se odiaban, por lo que el hombre se suicidó para que no cobrara un seguro que ella había comprado sobre él.","Historia"
